Issue Key,Date,Status
FU-535,2025-04-19,OPEN
FU-535,2025-04-19,In Progress
FU-535,2025-04-19,APPLE REVIEW
FU-534,2025-04-19,OPEN
FU-533,2025-04-18,OPEN
FU-533,2025-04-18,APPROVED
FU-532,2025-04-18,OPEN
FU-532,2025-04-18,APPROVED
FU-531,2025-04-18,OPEN
FU-531,2025-04-18,APPROVED
FU-530,2025-04-18,OPEN
FU-530,2025-04-18,APPROVED
FU-529,2025-04-18,OPEN
FU-529,2025-04-18,APPROVED
FU-528,2025-04-18,OPEN
FU-528,2025-04-18,APPROVED
FU-527,2025-04-18,OPEN
FU-527,2025-04-18,APPROVED
FU-526,2025-04-18,OPEN
FU-526,2025-04-18,APPROVED
FU-524,2025-04-17,OPEN
FU-524,2025-04-17,APPROVED
FU-523,2025-04-17,OPEN
FU-523,2025-04-17,APPROVED
FU-522,2025-04-17,OPEN
FU-522,2025-04-17,APPROVED
FU-521,2025-04-17,OPEN
FU-521,2025-04-17,In Progress
FU-521,2025-04-17,APPLE REVIEW
FU-521,2025-04-17,APPROVED
FU-521,2025-04-17,WAITING TO INTEGRATE
FU-521,2025-04-18,INTEGRATED SDK
FU-520,2025-04-16,OPEN
FU-520,2025-04-16,In Progress
FU-520,2025-04-16,APPLE REVIEW
FU-520,2025-04-16,PENDING
FU-520,2025-04-16,In Progress
FU-519,2025-04-16,OPEN
FU-519,2025-04-16,In Progress
FU-519,2025-04-16,APPROVED
FU-519,2025-04-16,WAITING TO INTEGRATE
FU-519,2025-04-16,INTEGRATED SDK
FU-519,2025-04-17,APPROVED WITH SDK
FU-518,2025-04-16,OPEN
FU-518,2025-04-16,In Progress
FU-517,2025-04-15,OPEN
FU-517,2025-04-15,In Progress
FU-517,2025-04-15,APPLE REVIEW
FU-516,2025-04-15,OPEN
FU-516,2025-04-15,In Progress
FU-515,2025-04-15,OPEN
FU-515,2025-04-15,In Progress
FU-515,2025-04-15,APPLE REVIEW
FU-514,2025-04-15,OPEN
FU-514,2025-04-15,In Progress
FU-514,2025-04-15,APPLE REVIEW
FU-513,2025-04-15,OPEN
FU-513,2025-04-15,In Progress
FU-513,2025-04-15,APPLE REVIEW
FU-512,2025-04-15,OPEN
FU-512,2025-04-15,In Progress
FU-512,2025-04-15,APPLE REVIEW
FU-511,2025-04-15,OPEN
FU-511,2025-04-15,In Progress
FU-511,2025-04-15,APPLE REVIEW
FU-510,2025-04-15,OPEN
FU-510,2025-04-15,In Progress
FU-510,2025-04-15,APPLE REVIEW
FU-509,2025-04-15,OPEN
FU-509,2025-04-15,In Progress
FU-509,2025-04-16,APPLE REVIEW
FU-508,2025-04-15,OPEN
FU-508,2025-04-15,APPROVED
FU-507,2025-04-15,OPEN
FU-506,2025-04-15,OPEN
FU-506,2025-04-15,In Progress
FU-506,2025-04-15,APPLE REVIEW
FU-506,2025-04-15,APPROVED
FU-506,2025-04-15,WAITING TO INTEGRATE
FU-505,2025-04-14,OPEN
FU-504,2025-04-14,OPEN
FU-504,2025-04-14,In Progress
FU-504,2025-04-14,APPLE REVIEW
FU-503,2025-04-14,OPEN
FU-503,2025-04-14,READY TO TEST
FU-503,2025-04-14,QC PASSED-WARN
FU-502,2025-04-14,OPEN
FU-502,2025-04-14,READY TO TEST
FU-502,2025-04-14,QC PASSED-WARN
FU-501,2025-04-14,OPEN
FU-501,2025-04-14,READY TO TEST
FU-501,2025-04-14,QC PASSED-WARN
FU-500,2025-04-13,OPEN
FU-500,2025-04-16,APPROVED
FU-499,2025-04-11,OPEN
FU-499,2025-04-11,APPROVED
FU-499,2025-04-17,WAITING TO INTEGRATE
FU-498,2025-04-10,OPEN
FU-498,2025-04-10,APPROVED
FU-498,2025-04-17,WAITING TO INTEGRATE
FU-497,2025-04-10,OPEN
FU-497,2025-04-10,In Progress
FU-496,2025-04-10,OPEN
FU-496,2025-04-10,In Progress
FU-495,2025-04-09,OPEN
FU-495,2025-04-09,APPROVED
FU-495,2025-04-17,WAITING TO INTEGRATE
FU-494,2025-04-09,OPEN
FU-494,2025-04-09,APPROVED
FU-494,2025-04-17,WAITING TO INTEGRATE
FU-493,2025-04-09,OPEN
FU-493,2025-04-09,APPROVED
